hints_learningphase_1	response_learningphase_1	wordpairs_learningphase_1	condition_learningphase_1	hints_testfeedback_1[1]	response_testfeedback_1[1]	wordpairs_testfeedback_1[1]	condition_testfeedback_1[1]	hints_testfeedback_1[2]	response_testfeedback_1[2]	wordpairs_testfeedback_1[2]	condition_testfeedback_1[2]	hints_testfeedback_1[3]	response_testfeedback_1[3]	wordpairs_testfeedback_1[3]	condition_testfeedback_1[3]	hints_learningphase_2	response_learningphase_2	wordpairs_learningphase_2	condition_learningphase_2	hints_testfeedback_2[1]	response_testfeedback_2[1]	wordpairs_testfeedback_2[1]	condition_testfeedback_2[1]	hints_testfeedback_2[2]	response_testfeedback_2[2]	wordpairs_testfeedback_2[2]	condition_testfeedback_2[2]	hints_testfeedback_2[3]	response_testfeedback_2[3]	wordpairs_testfeedback_2[3]	condition_testfeedback_2[3]	hints_learningphase_3	response_learningphase_3	wordpairs_learningphase_3	condition_learningphase_3	hints_testfeedback_3[1]	response_testfeedback_3[1]	wordpairs_testfeedback_3[1]	condition_testfeedback_3[1]	hints_testfeedback_3[2]	response_testfeedback_3[2]	wordpairs_testfeedback_3[2]	condition_testfeedback_3[2]	hints_testfeedback_3[3]	response_testfeedback_3[3]	wordpairs_testfeedback_3[3]	condition_testfeedback_3[3]	hints_learningphase_4	response_learningphase_4	wordpairs_learningphase_4	condition_learningphase_4	hints_testfeedback_4[1]	response_testfeedback_4[1]	wordpairs_testfeedback_4[1]	condition_testfeedback_4[1]	hints_testfeedback_4[2]	response_testfeedback_4[2]	wordpairs_testfeedback_4[2]	condition_testfeedback_4[2]	hints_testfeedback_4[3]	response_testfeedback_4[3]	wordpairs_testfeedback_4[3]	condition_testfeedback_4[3]	TFPerformance_1[1]	TFPerformance_1[2]	TFPerformance_1[3]	TFPerformance_2[1]	TFPerformance_2[2]	TFPerformance_2[3]	TFPerformance_3[1]	TFPerformance_3[2]	TFPerformance_3[3]	TFPerformance_4[1]	TFPerformance_4[2]	TFPerformance_4[3]	TFKey_1[1]	TFHintTime_1[1]	TFKeyTime_1[1]	TFRT_1[1]	TFKey_1[2]	TFHintTime_1[2]	TFKeyTime_1[2]	TFRT_1[2]	TFKey_1[3]	TFHintTime_1[3]	TFKeyTime_1[3]	TFRT_1[3]	TFKey_2[1]	TFHintTime_2[1]	TFRT_2[1]	TFKeyTime_2[1]	TFKey_2[2]	TFHintTime_2[2]	TFKeyTime_2[2]	TFRT_2[2]	TFKey_2[3]	TFHintTime_2[3]	TFKeyTime_2[3]	TFRT_2[3]	TFKey_3[1]	TFHintTime_3[1]	TFKeyTime_3[1]	TFRT_3[1]	TFKey_3[2]	TFHintTime_3[2]	TFKeyTime_3[2]	TFRT_3[2]	TFKey_3[3]	TFHintTime_3[3]	TFKeyTime_3[3]	TFRT_3[3]	TFKey_4[1]	TFHintTime_4[1]	TFKeyTime_4[1]	TFRT_4[1]	TFKey_4[2]	TFHintTime_4[2]	TFKeyTime_4[2]	TFRT_4[2]	TFKey_4[3]	TFHintTime_4[3]	TFKeyTime_4[3]	TFRT_4[3]
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	MUSEUM	CLAY	"MUSEUM - CLAY"	t	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	RUG	WOOL	"RUG - WOOL"	t	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	NAPKIN	FORK	"NAPKIN - FORK"	b	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	WOOD	TERMITE	"WOOD - OOOOOOO"	pb	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	BRAKE	ANCHOR	"BRAKE - ANCHOR"	nt	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	TREE	LIFE	"TREE - LIFE"	b	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	HIVE	HEXAGON	"HIVE - HEXAGON"	b	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	z	1525794.03	1526961.74	1167	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	STEAM	TRAIN	"STEAM - TRAIN"	nt	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	z	1528860.70	1530592.90	1732	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	UNIT	GRAVITY	"UNIT - OOOOOOO"	pb	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	z	1532477.36	1534656.31	2178	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	RUG	WOOL	"RUG - WOOL"	t	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	z	1532477.36	1534656.31	2178	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	LAKE	SUMMER	"LAKE - SUMMER"	b	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	z	1532477.36	1534656.31	2178	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	NEEDLE	DOCTOR	"NEEDLE - DOCTOR"	nt	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	z	1546127.36	1548304.13	2176	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	PICNIC	HILL	"PICNIC - HILL"	b	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	z	1550144.01	1552216.51	2072	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	INSIGHT	ART	"INSIGHT - ART"	nt	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	z	1554060.69	1556473.59	2412	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	SLAB	GRANITE	"SLAB - OOOOOOO"	pb	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	x	1558310.69	1561271.48	2960	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	KNUCKLE	RING	"KNUCKLE - RING"	t	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	z	1563144.03	1565945.24	2801	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	LINT	CURTAIN	"LINT - CURTAIN"	ft	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	z	1563144.03	1565945.24	2801	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	PENCIL	STICKER	"PENCIL - STICKER"	t	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	z	1563144.03	1565945.24	2801	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	PUMP	OIL	"PUMP - OIL"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	WISDOM	MONK	"WISDOM - MONK"	fb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CARTOON	HERO	"CARTOON - OOOO"	fpb	CIGAR	VICE	"CIGAR - VICE"	ft	CIGAR	VICE	"CIGAR - VICE"	ft	CHALK	BOOK	"CHALK - BOOK"	fb	MUSEUM	CLAY	"MUSEUM - CLAY"	t	BOND	WEDDING	"BOND - WEDDING"	fnt	BOND	WEDDING	"BOND - WEDDING"	fnt	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	EGO	SHALLOW	"EGO - OOOOOOO"	fpb	   52.00	0	0	   65.00	0	0	0	0	0	0	0	0	z	1082627.35	1083956.83	1329	m	0	0	0	m	0	0	0	z	1394827.35	1344	1396172.02	m	0	0	0	m	0	0	0	z	1563144.03	1565945.24	2801	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0	m	0	0	0
